review_rank,group_key,display_location,borough,event_count,priority_score,location_complexity,simplified_geocoder_query,review_guidance,google_maps_search_url,manual_lat,manual_lng,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason
1,brooklyn|pena herrera park ps 1 pena herrera park,Pena Herrera Park (PS 1): Pena Herrera Park,Brooklyn,16,17,park_or_facility_subsite,"Pena Herrera Park (PS 1), Brooklyn, New York, NY",Park or facility subsite. Check NYC Parks BigApps facility reference or verify the parent park pin manually before adding to manual_gps_reference.json.,https://www.google.com/maps/search/?api=1&query=Pena+Herrera+Park+%28PS+1%29%3A+Pena+Herrera+Park%2C+Brooklyn%2C+New+York%2C+NY,,,pending,False,,
2,brooklyn|patrick o rourke park ps 201 multi purpose play area 01 patrick o rourke park ps 201 basketball 01,"Patrick O'Rourke Park (PS 201): Multi Purpose Play Area-01   ,Patrick O'Rourke Park (PS 201): Basketball-01",Brooklyn,16,17,park_or_facility_subsite,"Patrick O'Rourke Park (PS 201), Brooklyn, New York, NY",Park or facility subsite. Check NYC Parks BigApps facility reference or verify the parent park pin manually before adding to manual_gps_reference.json.,https://www.google.com/maps/search/?api=1&query=Patrick+O%27Rourke+Park+%28PS+201%29%3A+Multi+Purpose+Play+Area-01+++%2CPatrick+O%27Rourke+Park+%28PS+201%29%3A+Basketball-01%2C+Brooklyn%2C+New+York%2C+NY,,,pending,False,,
3,bronx|rockwood street open street 2026 rockwood street open street 2026,ROCKWOOD STREET Open Street 2026: ROCKWOOD STREET Open Street 2026,Bronx,11,12,park_or_facility_subsite,"ROCKWOOD STREET Open Street 2026, Bronx, New York, NY",Park or facility subsite. Check NYC Parks BigApps facility reference or verify the parent park pin manually before adding to manual_gps_reference.json.,https://www.google.com/maps/search/?api=1&query=ROCKWOOD+STREET+Open+Street+2026%3A+ROCKWOOD+STREET+Open+Street+2026%2C+Bronx%2C+New+York%2C+NY,,,pending,False,,
4,brooklyn|walt whitman park walt whitman park,Walt Whitman Park: Walt Whitman Park,Brooklyn,7,8,park_or_facility_subsite,"Walt Whitman Park, Brooklyn, New York, NY",Park or facility subsite. Check NYC Parks BigApps facility reference or verify the parent park pin manually before adding to manual_gps_reference.json.,https://www.google.com/maps/search/?api=1&query=Walt+Whitman+Park%3A+Walt+Whitman+Park%2C+Brooklyn%2C+New+York%2C+NY,,,pending,False,,
5,manhattan|bleecker street between leroy street and carmine street,BLEECKER STREET between LEROY STREET and CARMINE STREET,Manhattan,6,7,street_between_pair,"BLEECKER STREET between LEROY STREET and CARMINE STREET, Manhattan, New York, NY","Open street segment between two cross streets. Add a midpoint coordinate to data/manual_gps_reference.json after field verification, then re-run Phase 2C fill.",https://www.google.com/maps/search/?api=1&query=BLEECKER+STREET+between+LEROY+STREET+and+CARMINE+STREET%2C+Manhattan%2C+New+York%2C+NY,,,pending,False,,
6,manhattan|johnny hartman square johnny hartman square,Johnny Hartman Square: Johnny Hartman Square,Manhattan,4,5,park_or_facility_subsite,"Johnny Hartman Square, Manhattan, New York, NY",Park or facility subsite. Check NYC Parks BigApps facility reference or verify the parent park pin manually before adding to manual_gps_reference.json.,https://www.google.com/maps/search/?api=1&query=Johnny+Hartman+Square%3A+Johnny+Hartman+Square%2C+Manhattan%2C+New+York%2C+NY,,,pending,False,,
7,manhattan|east 115 street between park avenue and lexington avenue,EAST  115 STREET between PARK AVENUE and LEXINGTON AVENUE,Manhattan,4,5,street_between_pair,"EAST  115 STREET between PARK AVENUE and LEXINGTON AVENUE, Manhattan, New York, NY","Open street segment between two cross streets. Add a midpoint coordinate to data/manual_gps_reference.json after field verification, then re-run Phase 2C fill.",https://www.google.com/maps/search/?api=1&query=EAST++115+STREET+between+PARK+AVENUE+and+LEXINGTON+AVENUE%2C+Manhattan%2C+New+York%2C+NY,,,pending,False,,
8,bronx|monsignor raul del valle square whole park,Monsignor Raul Del Valle Square: Whole Park,Bronx,3,4,park_or_facility_subsite,"Monsignor Raul Del Valle Square, Bronx, New York, NY",Park or facility subsite. Check NYC Parks BigApps facility reference or verify the parent park pin manually before adding to manual_gps_reference.json.,https://www.google.com/maps/search/?api=1&query=Monsignor+Raul+Del+Valle+Square%3A+Whole+Park%2C+Bronx%2C+New+York%2C+NY,,,pending,False,,
9,bronx|east 163 street between bruckner boulevard and southern boulevard,EAST  163 STREET between BRUCKNER BOULEVARD and SOUTHERN BOULEVARD,Bronx,3,4,street_between_pair,"EAST  163 STREET between BRUCKNER BOULEVARD and SOUTHERN BOULEVARD, Bronx, New York, NY","Open street segment between two cross streets. Add a midpoint coordinate to data/manual_gps_reference.json after field verification, then re-run Phase 2C fill.",https://www.google.com/maps/search/?api=1&query=EAST++163+STREET+between+BRUCKNER+BOULEVARD+and+SOUTHERN+BOULEVARD%2C+Bronx%2C+New+York%2C+NY,,,pending,False,,
10,brooklyn|clarkson avenue between east 37 street and east 38 street,CLARKSON AVENUE between EAST   37 STREET and EAST   38 STREET,Brooklyn,3,4,street_between_pair,"CLARKSON AVENUE between EAST   37 STREET and EAST   38 STREET, Brooklyn, New York, NY","Open street segment between two cross streets. Add a midpoint coordinate to data/manual_gps_reference.json after field verification, then re-run Phase 2C fill.",https://www.google.com/maps/search/?api=1&query=CLARKSON+AVENUE+between+EAST+++37+STREET+and+EAST+++38+STREET%2C+Brooklyn%2C+New+York%2C+NY,,,pending,False,,
