priority_rank,overlap_key,title,start_date_time,boroughs,categories,parks_title_date_match,proposed_lat,proposed_lng,classification,review_notes,manual_review_status,promotion_allowed
1,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-16,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-16T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
2,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-17,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-17T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
3,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-18,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-18T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
4,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-19,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-19T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
5,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-20,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-20T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
6,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-21,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-21T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
7,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-22,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-22T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
8,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-23,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-23T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
9,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-24,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-24T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
10,ongoing outdoor museum exhibit alice s terracotta garden|2026-07-25,Ongoing Outdoor Museum Exhibit: Alice's Terracotta Garden,2026-07-25T11:00:00.000-04:00,SI,Parks & Recreation,True,40.505546147538,-74.254193782807,likely_valid_parks_overlap,Title+date overlap with Parks BigApps; proposed coordinates present for manual spot-check.,pending,False
